is_sarcastic,headline,DeepSeek_Sarcasm,Gemini_Sarcasm,Openai_Sarcasm,llama_Sarcasm
FALSE,allies: islamist motive for killing nemtsov is nonsense,TRUE,FALSE,FALSE,FALSE
FALSE,gillian jacobs on what it's like to kiss adam brody,TRUE,TRUE,FALSE,TRUE
FALSE,uber vows to repay nyc drivers 'tens of millions' after tax snafu,TRUE,FALSE,FALSE,TRUE
FALSE,apple may have poached electric motorcycle company to death,TRUE,TRUE,FALSE,TRUE
FALSE,"drug-resistant bacteria often lurk in children's, dogs' sandboxes",TRUE,FALSE,FALSE,FALSE
FALSE,if you see a muslim at the airport,TRUE,TRUE,TRUE,TRUE
TRUE,giant altoid heading toward earth,TRUE,FALSE,FALSE,TRUE
FALSE,'moana' sails straight to the top of the box office with massive $81.1 million opening,FALSE,TRUE,FALSE,TRUE
FALSE,selig counted money while baseball lost the next generation of fans,TRUE,TRUE,FALSE,TRUE
TRUE,robin williams inflicted on holiday moviegoers for eighth straight year,TRUE,FALSE,TRUE,TRUE
FALSE,devin nunes vows to 'never' reveal source of surveillance claims,TRUE,FALSE,FALSE,TRUE
FALSE,scott used to stop breathing nearly 40 times an hour. this device changed his life,FALSE,TRUE,FALSE,TRUE
TRUE,rescuers heroically help beached garbage back into ocean,TRUE,TRUE,FALSE,TRUE
FALSE,medics drop soccer player from stretcher; he's ticked,TRUE,TRUE,TRUE,TRUE
FALSE,give the gift of play this holiday season,FALSE,TRUE,FALSE,TRUE
TRUE,christian bale visits sikh temple victims,FALSE,TRUE,FALSE,TRUE
FALSE,spicer denies that ending maternity care guarantee would mean women pay more for health care,TRUE,FALSE,FALSE,TRUE
TRUE,"'right to live life in complete, stunned horror,' added to constitution",TRUE,FALSE,FALSE,TRUE
TRUE,nasa now almost positive mars is rocky,FALSE,FALSE,FALSE,FALSE
TRUE,monster undeterred by night-light,TRUE,FALSE,FALSE,TRUE
FALSE,diy: sports equipment closet,FALSE,FALSE,FALSE,TRUE
FALSE,"1 dead, 3 injured in shooting at t.i. concert in nyc",FALSE,FALSE,FALSE,TRUE
TRUE,longtime teacher retires without changing a single student's life,TRUE,TRUE,TRUE,TRUE
FALSE,"donald trump heading for a series of wins in the northeast, polls say",FALSE,TRUE,FALSE,TRUE
FALSE,donald trump wouldn't have had the ready cash to self-finance entire campaign â analysis,TRUE,FALSE,FALSE,TRUE
TRUE,new 'star wars' film once again disappoints die-hard nien nunb fans,TRUE,FALSE,TRUE,TRUE
TRUE,bats shooed out of nation's waterslide tunnels in preparation for summer,TRUE,FALSE,FALSE,FALSE
TRUE,mobile news crew reports on own van breaking down,TRUE,FALSE,FALSE,TRUE
FALSE,un rights chief calls humanitarian situation in syria 'an outrage',FALSE,FALSE,FALSE,FALSE
FALSE,how to track santa claus' flight around the world this christmas eve,FALSE,TRUE,FALSE,TRUE
TRUE,obama has colorado appraised,TRUE,FALSE,FALSE,TRUE
TRUE,trouble again in tv's africa,TRUE,FALSE,FALSE,TRUE
TRUE,brita unveils new in-throat water filters,FALSE,TRUE,FALSE,TRUE
TRUE,report: john grisham slowly but surely climbing list of greatest living american authors,FALSE,FALSE,FALSE,TRUE
TRUE,ghost can't make a simple cup of coffee without everyone freaking out,TRUE,TRUE,TRUE,TRUE
TRUE,tupperware will never truly recover from red curry leftovers,TRUE,TRUE,TRUE,TRUE
FALSE,one of the planet's most powerful forces for change? an adolescent girl,TRUE,FALSE,FALSE,TRUE
FALSE,how does draymond green take his game to the next level? by tuning in to the wnba,TRUE,TRUE,FALSE,TRUE
TRUE,area woman said 'sorry' 118 times yesterday,TRUE,FALSE,FALSE,TRUE
FALSE,ryan lochte apologizes for behavior in rio,FALSE,TRUE,FALSE,TRUE
TRUE,north dakota not heard from in 48 hours,TRUE,FALSE,FALSE,TRUE
FALSE,4 lessons prison taught me about power and control,FALSE,TRUE,FALSE,TRUE
TRUE,sick fucks line up to gape at dead body,TRUE,TRUE,FALSE,TRUE
FALSE,what is america's first muslim fraternity really like?,FALSE,TRUE,FALSE,TRUE
FALSE,"the vicious knot of syria, the untangling process contains solutions in our time",TRUE,TRUE,FALSE,TRUE
FALSE,this congressman thinks we can fix the economy by drinking beer,TRUE,TRUE,TRUE,TRUE
TRUE,breast implants found to cause problems in laboratory mice,TRUE,FALSE,FALSE,TRUE
FALSE,trump orders strikes on syria in retaliation for chemical attack,FALSE,TRUE,FALSE,TRUE
TRUE,ceo's funeral a networking dream,TRUE,FALSE,TRUE,TRUE
FALSE,year-round schooling: how it would help minority students,FALSE,TRUE,FALSE,TRUE
FALSE,90 zen teachers pledge to change culture that fosters abuse,FALSE,TRUE,FALSE,TRUE
FALSE,nypd weighs allowing chokeholds following eric garner death,FALSE,FALSE,FALSE,FALSE
TRUE,sonny bono foundation prevents at-risk youths from skiing into trees,TRUE,FALSE,FALSE,TRUE
FALSE,pope francis reminds the world that caring for the earth is everyone's responsibility,FALSE,FALSE,FALSE,TRUE
TRUE,6-year-old cries when told mtm productions kitten dead by now,TRUE,FALSE,FALSE,TRUE
TRUE,ex-boyfriend just thought he'd check in and throw entire day off,TRUE,FALSE,TRUE,TRUE
TRUE,doctors restore ken burns' full-color vision after removing massive tumor from filmmaker's visual cortex,TRUE,TRUE,FALSE,TRUE
FALSE,'gravity' & '12 years a slave' tie at 2014 pga awards,TRUE,FALSE,FALSE,TRUE
FALSE,"for national coming out day, 150 lgbtq sports people who have come out in the last year",TRUE,TRUE,FALSE,TRUE
FALSE,john oliver lays out the most disturbing ways in which trump impacts america,TRUE,FALSE,FALSE,TRUE
FALSE,house gop crackdown continues,FALSE,FALSE,FALSE,TRUE
TRUE,"'i must make sure you have the skills to please my grandson,' says queen elizabeth disrobing before meghan markle",TRUE,FALSE,TRUE,TRUE
TRUE,man visiting hometown amazed to find all his childhood insecurities still there,TRUE,FALSE,TRUE,TRUE
FALSE,look: world cup star attacked by giant bug,TRUE,TRUE,FALSE,TRUE
TRUE,clinton becomes first president to clear 18 feet in pole vault,TRUE,TRUE,FALSE,TRUE
TRUE,hunter s. thompson shoots mouth off one last time,TRUE,TRUE,FALSE,TRUE
FALSE,inhofe's grand climate conspiracy theory: it's all about barbra streisand,TRUE,FALSE,FALSE,TRUE
FALSE,5 questions i wish younger people would stop asking me,TRUE,TRUE,TRUE,TRUE
FALSE,"albuquerque shooter on the loose; gunman leaves 1 dead, 3 injured",FALSE,FALSE,FALSE,TRUE
FALSE,what it's like to lose everything in a flood,FALSE,TRUE,FALSE,TRUE
FALSE,demi lovato drops emotional 'nightingale' music vid,FALSE,FALSE,FALSE,TRUE
FALSE,"miley cyrus and liam hemsworth smooch on nye, and the world notices",FALSE,TRUE,FALSE,TRUE
TRUE,jealous gps clearly wants man to back over wife,TRUE,TRUE,TRUE,TRUE
FALSE,'parks and rec' star natalie morales comes out as queer,FALSE,TRUE,FALSE,TRUE
FALSE,the top italy tours for 2015,FALSE,TRUE,FALSE,TRUE
FALSE,"kaia gerber, cindy crawford's daughter, lands major fashion campaign",FALSE,TRUE,FALSE,TRUE
TRUE,l.a. grants clippers $12 for new nets,TRUE,FALSE,FALSE,TRUE
FALSE,james corden roasts david beckham for matching outfits with posh,TRUE,TRUE,TRUE,TRUE
TRUE,cafÃ© adds heartbreaking little lunch menu,TRUE,FALSE,FALSE,TRUE
FALSE,mcdonald's says its packaging will be 100 percent green by 2025,FALSE,TRUE,FALSE,TRUE
FALSE,kris jenner turned all the way up for drunken valentine's day karaoke,TRUE,TRUE,FALSE,TRUE
TRUE,"whale regrets eating 290,000 plastic poker chips that fell off container ship",TRUE,TRUE,FALSE,TRUE
FALSE,texas ebola patient 'fighting for his life',FALSE,FALSE,FALSE,TRUE
TRUE,"'is it too late to audition?' asks perfect actor for role, poking head into room just as producers were giving up hope",TRUE,FALSE,TRUE,TRUE
TRUE,robert de niro to turn 58 for movie role,FALSE,TRUE,FALSE,TRUE
FALSE,scott pruitt (sort of) answers whether trump believes in climate change,TRUE,FALSE,FALSE,FALSE
FALSE,accused father and son urinal thieves flushed out by cops,TRUE,TRUE,FALSE,TRUE
TRUE,"'just take it slow, and you'll be fine,' drunk driver assures self while speeding away in stolen police car",TRUE,TRUE,TRUE,TRUE
FALSE,3 libertarians fuel $7 million super pac in philadelphia's mayoral democratic primary,FALSE,TRUE,FALSE,TRUE
FALSE,air force will no longer require 'so help me god' in enlistment oaths,TRUE,TRUE,FALSE,TRUE
TRUE,paul newman dies after consuming 51 hard-boiled eggs,TRUE,TRUE,FALSE,TRUE
TRUE,yak chews thoughtfully,FALSE,FALSE,FALSE,TRUE
TRUE,man worried about drug dealer who's not picking up phone,TRUE,FALSE,FALSE,TRUE
TRUE,dad recommends hotel 10 miles away from city you're visiting,TRUE,FALSE,FALSE,TRUE
FALSE,"explosion fells building outside paris, killing at least 2",FALSE,FALSE,FALSE,TRUE
FALSE,the source of donald trump's military expertise finally revealed!,TRUE,TRUE,FALSE,TRUE
FALSE,union claims sanders campaign staffers posed as members to influence workers,TRUE,FALSE,FALSE,TRUE
FALSE,seattle mayor's accuser in sex-abuse lawsuit comes forward,TRUE,FALSE,FALSE,FALSE
TRUE,southern comfort comforts southerner,TRUE,FALSE,FALSE,TRUE
FALSE,swedish police featured in film shown by fox news say they were selectively edited,TRUE,FALSE,FALSE,TRUE
FALSE,"chromat features not 1, but 2 plus-size models on its runway",TRUE,TRUE,FALSE,TRUE
FALSE,councilman calls on baltimore rappers to inspire students,FALSE,FALSE,FALSE,TRUE
FALSE,10 qualities of your inner spirit,TRUE,FALSE,FALSE,TRUE
TRUE,chubby jewish boy dreams of one day being next apatow muse,TRUE,TRUE,TRUE,TRUE
FALSE,the only parenting advice i'd dare to give,TRUE,TRUE,FALSE,TRUE
TRUE,family chooses different dog than reincarnated grandfather,TRUE,FALSE,FALSE,TRUE
FALSE,celebrities celebrate fourth of july with some fun in the sun,FALSE,TRUE,FALSE,TRUE
FALSE,"international women's day: will ""western women save the world""?",FALSE,FALSE,FALSE,TRUE
FALSE,"michelle phan, youtube's 'beauty bestie,' empowers women from the outside in",FALSE,TRUE,FALSE,TRUE
FALSE,caitlyn jenner responds to ricky gervais' golden globes jokes,TRUE,TRUE,FALSE,TRUE
FALSE,joy behar responds to michael flynn guilty plea with pure joy,TRUE,TRUE,FALSE,TRUE
FALSE,6 things no one tells women about their weight loss journey,TRUE,FALSE,FALSE,FALSE
TRUE,fan disappointed to learn l. ron hubbard scientologist,TRUE,FALSE,FALSE,TRUE
TRUE,marriage breaks up over procreative differences,TRUE,FALSE,FALSE,TRUE
FALSE,ne-yo helps to raise $2.3 million for california engineering school,FALSE,TRUE,FALSE,TRUE
FALSE,elizabeth warren calls donald trump a 'racist bully',FALSE,FALSE,FALSE,TRUE
FALSE,"six dead, 10 hurt in baltimore commuter, school bus crash",FALSE,FALSE,FALSE,TRUE
TRUE,fox news problem solvers in way over their heads,TRUE,FALSE,TRUE,TRUE
FALSE,kim gordon clarifies her comments on lana del rey and feminism,FALSE,FALSE,FALSE,FALSE
TRUE,bashar al-assad tries tiny bit of sarin gas on self to see what it's like,TRUE,TRUE,FALSE,TRUE
FALSE,my niece has cancer and i'm ticked about it,FALSE,FALSE,FALSE,TRUE
FALSE,"supermodel stephanie seymour arrested, charged with drunken driving",FALSE,FALSE,FALSE,TRUE
FALSE,scoliosis: what you need to know,FALSE,FALSE,FALSE,TRUE
FALSE,controversy erupts after uk retailer removes gender labels from kids' clothes,FALSE,FALSE,FALSE,TRUE
TRUE,teacher bitches about paycheck to sixth-grade class,TRUE,FALSE,TRUE,TRUE
TRUE,area insurance salesman celebrates 14th year of quoting fletch,FALSE,TRUE,FALSE,TRUE
TRUE,friends always on best behavior around neil labute,TRUE,TRUE,FALSE,TRUE
TRUE,man vows never to watch another sci-fi movie with physicist friend,FALSE,FALSE,FALSE,TRUE
TRUE,biologists announce they're all done with rodents,TRUE,FALSE,TRUE,TRUE
FALSE,megyn kelly on donald trump: 'i have done my level best to not make this story about me',FALSE,FALSE,FALSE,TRUE
FALSE,the secret behind a one day project going viral,TRUE,TRUE,FALSE,TRUE
FALSE,creating leverage where none seems to exist,TRUE,TRUE,FALSE,TRUE
TRUE,new movie taps into nation's love of rapping kangaroos,TRUE,TRUE,FALSE,TRUE
TRUE,newspaper starting to worry spending so much time on facebook not healthy for it,FALSE,FALSE,TRUE,FALSE
FALSE,the lawsuit against black lives matter and the central meaning of the first amendment,FALSE,TRUE,FALSE,TRUE
TRUE,vatican putting out feelers for how public would react to another children's crusade,TRUE,TRUE,FALSE,TRUE
FALSE,'the wire' cast reunited in baltimore to uplift community,FALSE,TRUE,FALSE,TRUE
FALSE,obama's supreme court nominee just bragged about sending this man to prison. now he's free.,FALSE,TRUE,FALSE,TRUE
FALSE,death of d.c. man in security guard custody ruled a homicide,TRUE,FALSE,FALSE,TRUE
FALSE,boehner vows to leave successor with clean slate,FALSE,FALSE,FALSE,TRUE
TRUE,trump makes last-minute push to appeal to whites,TRUE,TRUE,FALSE,TRUE
FALSE,"facing rising seas, remote alaskan village votes to move (again)",FALSE,FALSE,FALSE,FALSE
TRUE,all of child's fondest memories times when dad trying to make up for things,TRUE,FALSE,TRUE,TRUE
FALSE,the worst place in the world for a child,TRUE,TRUE,FALSE,TRUE
FALSE,mom sentenced for encouraging boyfriend's sex assault on baby,FALSE,FALSE,FALSE,TRUE
FALSE,donald trump's assault on our values,TRUE,TRUE,FALSE,TRUE
FALSE,the women's march inspired them to run. now they're unseating gop men.,TRUE,TRUE,FALSE,TRUE
FALSE,"was it worth it, america?",TRUE,TRUE,TRUE,TRUE
FALSE,gop senators aren't ready to accept trump as their champion,TRUE,FALSE,FALSE,TRUE
FALSE,price-gouging pharma ceo takes over cancer company,TRUE,FALSE,FALSE,TRUE
TRUE,man failing to heed harsh lessons of past orders sonic bacon cheeseburger toaster,TRUE,FALSE,TRUE,FALSE
TRUE,ken burns completes documentary about fucking liars who claimed they watched entire 'jazz' series,TRUE,TRUE,TRUE,TRUE
TRUE,magic-markered initials fail to deter breakroom rice-cake thief,TRUE,FALSE,FALSE,FALSE
FALSE,'straight outta compton' is a stunning surprise,FALSE,TRUE,FALSE,TRUE
FALSE,"carly rae jepsen just released her new single, 'all that'",FALSE,FALSE,FALSE,TRUE
TRUE,god humbled to be the answer to 'jeopardy!' clue,TRUE,TRUE,FALSE,TRUE
TRUE,female barista getting a lot better at avoiding touching male patrons' hands when they pay,TRUE,FALSE,FALSE,TRUE
FALSE,"gunman kills one, wounds four in shooting at german nightclub",FALSE,TRUE,FALSE,TRUE
TRUE,couple at point where they're comfortable using toilet at same time,TRUE,TRUE,FALSE,TRUE
FALSE,mountain lion tracked by scientists is found dead near malibu road,FALSE,FALSE,FALSE,FALSE
FALSE,noah cyrus makes her late-night debut belting out 'make me (cry)',TRUE,FALSE,FALSE,TRUE
TRUE,scalia goes on abortion bender after being passed over for chief justice,TRUE,FALSE,FALSE,TRUE
TRUE,campbell's unveils one big can-sized noodle,TRUE,TRUE,FALSE,TRUE
TRUE,is area man going to finish those fries?,FALSE,FALSE,TRUE,TRUE
FALSE,taylor swift used a 'gremlin voice' while writing '1989',TRUE,FALSE,FALSE,TRUE
TRUE,restaurant's eating challenge rewards any patron who can consume reasonably portioned meal,FALSE,TRUE,FALSE,TRUE
TRUE,fun sticker placed on child's ventilator,TRUE,TRUE,FALSE,TRUE
FALSE,the best way to eat avocados: avocado pasta,TRUE,TRUE,FALSE,TRUE
TRUE,"that one mcdonald's plate from the '70s: holy shit, there it is",TRUE,TRUE,TRUE,TRUE
FALSE,an open letter to progressives: tpp is not yet 'the most progressive trade agreement in history',TRUE,FALSE,FALSE,TRUE
TRUE,modern-day lancelot offers to pay for abortion,TRUE,TRUE,FALSE,TRUE
TRUE,united airlines offering immigrants special flights that circle u.s. awaiting gaps in travel ban,TRUE,TRUE,FALSE,TRUE
TRUE,sun thinking of just collapsing now and getting this all over with,TRUE,TRUE,TRUE,TRUE
FALSE,justice thomas' wife calls supreme court retirement report 'bogus',TRUE,FALSE,FALSE,TRUE
TRUE,trump retweets video from anti-muslim hate group,TRUE,TRUE,FALSE,TRUE
TRUE,long-silent facebook friend comes out of woodwork with post asking about insulating windows,FALSE,FALSE,FALSE,TRUE
TRUE,struggling airline helped by friendly giant,FALSE,TRUE,FALSE,TRUE
FALSE,7 ways to breakup like a boss,TRUE,TRUE,FALSE,TRUE
FALSE,sure seems like frankie muniz wants a 'malcolm in the middle' reboot,TRUE,TRUE,TRUE,TRUE
FALSE,using the united fiasco to flourish in the future,TRUE,TRUE,FALSE,TRUE
TRUE,unemployed sibling makes last push for group mother's day gift,TRUE,TRUE,FALSE,TRUE
TRUE,3822 voted america's favorite pin number,TRUE,FALSE,FALSE,TRUE
FALSE,"thank a teacher thursday: dominic casulli and the power of encouragement, part 1",FALSE,FALSE,FALSE,TRUE
FALSE,"a toe in the arctic ocean: canada's northwest territories on the looney front, part 2",FALSE,FALSE,FALSE,TRUE
FALSE,'it will never happen to me',FALSE,FALSE,FALSE,TRUE
TRUE,mark zuckerberg cited for contempt of congress after refusing to shut the fuck up about how he started company in dorm room,TRUE,TRUE,TRUE,TRUE
FALSE,rubio supporters get in a scuffle with a 'rubiobot',TRUE,FALSE,FALSE,TRUE
FALSE,the music of strangers: a film review by dr. lloyd sederer,FALSE,TRUE,FALSE,TRUE
TRUE,'dsm-5' updated to accommodate man who is legitimately being ordered to kill by the moon,TRUE,TRUE,TRUE,TRUE
TRUE,purina debuts new 'slovenly feast' for nasty-ass shelter cats,TRUE,TRUE,TRUE,TRUE
FALSE,obama chides darrell issa for touting alliance with him in re-election fight,TRUE,FALSE,FALSE,TRUE
FALSE,pope francis' iraq peace message meets the reality of war,TRUE,FALSE,FALSE,TRUE
FALSE,'ant-man and the wasp' trailer brings the fun after 'avengers: infinity war',FALSE,TRUE,FALSE,TRUE
TRUE,frontier airlines tells customers to just fucking deal with it,TRUE,TRUE,TRUE,TRUE
FALSE,moses and the red sea,FALSE,FALSE,FALSE,TRUE
TRUE,everyone forgets to bring swimsuits to coworker's party,TRUE,FALSE,FALSE,TRUE
FALSE,george takei accused of groping former male model in 1981,TRUE,TRUE,FALSE,TRUE
TRUE,new york times adds color to target under-70 demographic,FALSE,TRUE,FALSE,TRUE
FALSE,the hollywood boys' club that supports casey affleck is a total disgrace,TRUE,TRUE,FALSE,TRUE
FALSE,3 myths about low libido,TRUE,FALSE,FALSE,FALSE
TRUE,girl scouts rocked by 'cookies for cash' fundraising scandal,TRUE,FALSE,FALSE,TRUE
TRUE,christian juggler regrets years wasted as secular juggler,TRUE,FALSE,TRUE,TRUE
FALSE,"huffpollster: americans see progress, room for improvement on voting rights",FALSE,FALSE,FALSE,TRUE
FALSE,world will miss goal for universal education by 50 years: un,FALSE,FALSE,FALSE,TRUE
FALSE,jennifer lopez's name is jennifer lopez again,FALSE,FALSE,FALSE,TRUE
FALSE,how to rebuild your credit after bankruptcy -- fast,TRUE,TRUE,FALSE,TRUE
FALSE,discover how climate change is rapidly transforming our earth with google timelapse,FALSE,TRUE,FALSE,TRUE
TRUE,man who does everything at last minute wonders how you do it,TRUE,FALSE,TRUE,TRUE
FALSE,voting lines are shorter â but mostly for whites,TRUE,FALSE,FALSE,TRUE
TRUE,conrad bain steps down as national kitsch-reference laureate,TRUE,FALSE,FALSE,TRUE
FALSE,amanda slavin: not just a statistic,FALSE,FALSE,FALSE,TRUE
FALSE,laurie hernandez and val chmerkovskiy are already our favorite 'dancing with the stars' couple,FALSE,FALSE,FALSE,TRUE
FALSE,new photos show hurricane matthew's path of destruction in haiti,FALSE,TRUE,FALSE,TRUE
FALSE,florida lawmakers vote to ban marriage under the age of 17,TRUE,TRUE,FALSE,TRUE
TRUE,nasa inadvertently launches unmanned space shuttle,TRUE,FALSE,FALSE,FALSE
FALSE,nick viall is no longer a 'bachelor',FALSE,TRUE,FALSE,TRUE
FALSE,why america demonizes its teachers,FALSE,TRUE,FALSE,TRUE
TRUE,"new instant lottery game features three ways to win, 19,839,947 ways to lose",TRUE,TRUE,TRUE,TRUE
TRUE,podcast a cry for help,TRUE,FALSE,TRUE,TRUE
FALSE,fashion designer peter som's legendary minestrone soup recipe,FALSE,TRUE,FALSE,TRUE
FALSE,photography series spotlighting iconic women over 70 proves the best is yet to come,FALSE,TRUE,FALSE,TRUE
TRUE,clairvoyant vince vaughn accepts movie role before it's offered,TRUE,TRUE,TRUE,TRUE
FALSE,report kenan thompson is leaving 'snl' deemed 'inaccurate',FALSE,TRUE,FALSE,TRUE
FALSE,"woman hid heroin, oxy under fake butt, cops say",TRUE,FALSE,FALSE,FALSE
FALSE,'don't cry for me',FALSE,FALSE,TRUE,TRUE
FALSE,isis and the g-41 world,FALSE,FALSE,FALSE,TRUE
TRUE,melania trump hangs decayed badger carcass over white house mantel to finish off traditional slovenian christmas decor,TRUE,TRUE,TRUE,TRUE
TRUE,woman who admits to having watched golden globes thinks jodie foster embarrassed herself,TRUE,FALSE,FALSE,FALSE
FALSE,sarah huckabee sanders defends trump's sexist attack on kirsten gillibrand,TRUE,TRUE,FALSE,TRUE
FALSE,"saying goodbye to hollywood's hottest, seediest address",TRUE,TRUE,FALSE,TRUE
TRUE,bush increasingly focused on how revisionist history will see him,TRUE,FALSE,FALSE,TRUE
FALSE,11 years later: the human genome paves the way for genomic technonlogy,TRUE,TRUE,FALSE,TRUE
FALSE,man claiming to be boko haram leader appears in new video,TRUE,FALSE,FALSE,TRUE
FALSE,how do i live knowing proof of heaven?,FALSE,TRUE,FALSE,TRUE
FALSE,on pilgrimage in india,FALSE,FALSE,FALSE,TRUE
FALSE,will religious freedom advocates oppose roy moore?,FALSE,TRUE,FALSE,TRUE
FALSE,"uaw, fca still negotiating under 'hour-by-hour' contract extension",TRUE,FALSE,FALSE,FALSE
FALSE,if bernie sanders wanted to solve problems like donald trump,TRUE,TRUE,TRUE,TRUE
FALSE,"there is no right way, just write",FALSE,TRUE,FALSE,TRUE
TRUE,rest of evening spent declaring asshole not going to ruin evening,TRUE,FALSE,TRUE,TRUE
FALSE,north carolina doesn't seem to want people to see police camera footage,TRUE,FALSE,FALSE,TRUE
FALSE,the education department officially won't deal with transgender students experiencing bathroom discrimination,TRUE,TRUE,FALSE,TRUE
FALSE,why we won't be participating in black friday,FALSE,FALSE,FALSE,TRUE
TRUE,hooded members of congress drown another love child in potomac to prevent affair from getting out,TRUE,TRUE,TRUE,TRUE
FALSE,merkel: isis poses major risk to europe,FALSE,FALSE,FALSE,TRUE
TRUE,alcoholic kindergarten teacher stretches naptime to three hours,TRUE,TRUE,FALSE,TRUE
TRUE,report: store out of good kind,TRUE,FALSE,TRUE,TRUE
FALSE,devastating floods leave 23 dead in west virginia,FALSE,TRUE,FALSE,TRUE
FALSE,obama's greatest oratory performance,FALSE,TRUE,FALSE,TRUE
TRUE,grandmother palms grandson $10 like she fixing boxing match,TRUE,TRUE,TRUE,TRUE
TRUE,bumper nilla crop spells profit for wafer growers,TRUE,FALSE,FALSE,TRUE
FALSE,6 summer salads you'll actually crave,FALSE,TRUE,FALSE,TRUE
FALSE,the black keys new album 'turn blue' is now available to stream in full,FALSE,TRUE,FALSE,TRUE
FALSE,isis vs isil -- what's in a name?,TRUE,FALSE,FALSE,TRUE
TRUE,national trust for historic preservation to pay for andy rooney's upkeep,TRUE,FALSE,FALSE,FALSE
TRUE,list of names on gchat sidebar like a portal into area man's past lives,TRUE,TRUE,TRUE,TRUE
FALSE,tomi lahren is suing glenn beck and theblaze,TRUE,FALSE,FALSE,TRUE
FALSE,greg hardy unapologetically denies domestic abuse allegations,FALSE,TRUE,FALSE,TRUE
FALSE,tourists describe scenes of horror in tunisian beach massacre,TRUE,FALSE,FALSE,TRUE
FALSE,trump voters blink,TRUE,TRUE,FALSE,TRUE
FALSE,photos from 'ahs' set may help explain all those creepy blond children,TRUE,TRUE,FALSE,TRUE
TRUE,study: more couples delaying divorce until kids old enough to remember every painful detail,TRUE,TRUE,TRUE,TRUE
TRUE,never-before-heard buzzword flying around office can't be good,TRUE,FALSE,TRUE,TRUE
TRUE,man not certain what any of his coworkers' names are,TRUE,FALSE,TRUE,TRUE
FALSE,psychologists push for smartphone warning labels,FALSE,FALSE,FALSE,TRUE
TRUE,"clinton receives 400,000 honorary degrees for college commencement speech",TRUE,FALSE,FALSE,TRUE
TRUE,scavenger-hunt party 'not leaving without twine',TRUE,FALSE,FALSE,TRUE
FALSE,the republican obamacare dilemma in one 6-minute video,TRUE,TRUE,FALSE,TRUE
FALSE,mass graves suggest systematic killing of rohingya in myanmar,FALSE,FALSE,FALSE,TRUE
TRUE,final german u-boat surrenders to allied powers,FALSE,TRUE,FALSE,TRUE
FALSE,"private prison companies will still lock up immigrants, despite doj decision",TRUE,FALSE,FALSE,FALSE
TRUE,woman's head feared lost forever inside infinity scarf,TRUE,FALSE,FALSE,TRUE
